,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.692,0.533,1,-9.473,1,0.0587,0.808,1.64e-05,0.11,0.631,83.529,audio_features,5iX7aAVoO3dzUOZ1eAvg6f,spotify:track:5iX7aAVoO3dzUOZ1eAvg6f,https://api.spotify.com/v1/tracks/5iX7aAVoO3dzUOZ1eAvg6f,https://api.spotify.com/v1/audio-analysis/5iX7aAVoO3dzUOZ1eAvg6f,250934,4
1,0.68,0.336,6,-11.43,1,0.0754,0.843,0.00639,0.135,0.394,87.994,audio_features,7hyFz1ms1XEHbE2KqUbUQ8,spotify:track:7hyFz1ms1XEHbE2KqUbUQ8,https://api.spotify.com/v1/tracks/7hyFz1ms1XEHbE2KqUbUQ8,https://api.spotify.com/v1/audio-analysis/7hyFz1ms1XEHbE2KqUbUQ8,221053,4
2,0.838,0.652,2,-6.652,1,0.0499,0.00919,0.484,0.039,0.682,89.021,audio_features,0iCpsyn72qAsDI0wTSkln6,spotify:track:0iCpsyn72qAsDI0wTSkln6,https://api.spotify.com/v1/tracks/0iCpsyn72qAsDI0wTSkln6,https://api.spotify.com/v1/audio-analysis/0iCpsyn72qAsDI0wTSkln6,217427,4
3,0.677,0.649,7,-9.735,1,0.345,0.196,0.0,0.163,0.779,89.661,audio_features,6HDM2OxgzJ28iEhNWq0KQ8,spotify:track:6HDM2OxgzJ28iEhNWq0KQ8,https://api.spotify.com/v1/tracks/6HDM2OxgzJ28iEhNWq0KQ8,https://api.spotify.com/v1/audio-analysis/6HDM2OxgzJ28iEhNWq0KQ8,125027,4
4,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,0.608,113.01,audio_features,3AVyKOmMgvRjsC576xWw78,spotify:track:3AVyKOmMgvRjsC576xWw78,https://api.spotify.com/v1/tracks/3AVyKOmMgvRjsC576xWw78,https://api.spotify.com/v1/audio-analysis/3AVyKOmMgvRjsC576xWw78,220853,4
5,0.583,0.409,6,-15.926,0,0.392,0.802,0.24,0.139,0.186,89.887,audio_features,1fhIOXvolJoR1cIbS6ryyp,spotify:track:1fhIOXvolJoR1cIbS6ryyp,https://api.spotify.com/v1/tracks/1fhIOXvolJoR1cIbS6ryyp,https://api.spotify.com/v1/audio-analysis/1fhIOXvolJoR1cIbS6ryyp,394121,4
6,0.665,0.549,7,-11.388,0,0.0458,0.0917,0.557,0.0583,0.217,91.036,audio_features,3uvALUobqjZvTGAh6737Mb,spotify:track:3uvALUobqjZvTGAh6737Mb,https://api.spotify.com/v1/tracks/3uvALUobqjZvTGAh6737Mb,https://api.spotify.com/v1/audio-analysis/3uvALUobqjZvTGAh6737Mb,270720,4
7,0.784,0.65,2,-5.419,0,0.0283,0.438,0.166,0.135,0.785,110.019,audio_features,3zRhKaZXEUGrJqMGN5KtXy,spotify:track:3zRhKaZXEUGrJqMGN5KtXy,https://api.spotify.com/v1/tracks/3zRhKaZXEUGrJqMGN5KtXy,https://api.spotify.com/v1/audio-analysis/3zRhKaZXEUGrJqMGN5KtXy,213865,4
8,0.779,0.621,11,-9.839,0,0.084,0.34,0.0103,0.0747,0.529,91.959,audio_features,01D7nX5t321cgGgehXH0MU,spotify:track:01D7nX5t321cgGgehXH0MU,https://api.spotify.com/v1/tracks/01D7nX5t321cgGgehXH0MU,https://api.spotify.com/v1/audio-analysis/01D7nX5t321cgGgehXH0MU,197560,4
9,0.657,0.47,11,-11.241,0,0.355,0.254,0.139,0.1,0.592,93.032,audio_features,3z55fMIOftbrZrZ0Z7WbbW,spotify:track:3z55fMIOftbrZrZ0Z7WbbW,https://api.spotify.com/v1/tracks/3z55fMIOftbrZrZ0Z7WbbW,https://api.spotify.com/v1/audio-analysis/3z55fMIOftbrZrZ0Z7WbbW,293990,4
10,0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,0.465,92.887,audio_features,6HPSzboswlKS4Juf6UvyPA,spotify:track:6HPSzboswlKS4Juf6UvyPA,https://api.spotify.com/v1/tracks/6HPSzboswlKS4Juf6UvyPA,https://api.spotify.com/v1/audio-analysis/6HPSzboswlKS4Juf6UvyPA,311576,4
11,0.678,0.849,7,-6.983,1,0.0367,0.0459,0.613,0.0833,0.502,94.003,audio_features,1gWnuGAiTk3Q4yrIbwymUK,spotify:track:1gWnuGAiTk3Q4yrIbwymUK,https://api.spotify.com/v1/tracks/1gWnuGAiTk3Q4yrIbwymUK,https://api.spotify.com/v1/audio-analysis/1gWnuGAiTk3Q4yrIbwymUK,209800,4
12,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,audio_features,0Psz3az3RIYfJpnsajBT8N,spotify:track:0Psz3az3RIYfJpnsajBT8N,https://api.spotify.com/v1/tracks/0Psz3az3RIYfJpnsajBT8N,https://api.spotify.com/v1/audio-analysis/0Psz3az3RIYfJpnsajBT8N,190827,3
13,0.834,0.594,2,-8.731,1,0.14,0.258,0.0324,0.096,0.334,94.001,audio_features,4sONjuAg3sv8wrJEU5xX1X,spotify:track:4sONjuAg3sv8wrJEU5xX1X,https://api.spotify.com/v1/tracks/4sONjuAg3sv8wrJEU5xX1X,https://api.spotify.com/v1/audio-analysis/4sONjuAg3sv8wrJEU5xX1X,411813,4
14,0.698,0.812,9,-8.964,0,0.0397,0.0334,0.314,0.306,0.0408,125.023,audio_features,2u8GDlTkOd3bLSXJM8ZmXg,spotify:track:2u8GDlTkOd3bLSXJM8ZmXg,https://api.spotify.com/v1/tracks/2u8GDlTkOd3bLSXJM8ZmXg,https://api.spotify.com/v1/audio-analysis/2u8GDlTkOd3bLSXJM8ZmXg,218653,4
