,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
0,Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,5iX7aAVoO3dzUOZ1eAvg6f,0.692,0.533,1,-9.473,1,0.0587,0.808,1.64e-05,0.11,83.529,5iX7aAVoO3dzUOZ1eAvg6f,250934,0
1,Helpless,7hyFz1ms1XEHbE2KqUbUQ8,0.68,0.336,6,-11.43,1,0.0754,0.843,0.00639,0.135,87.994,7hyFz1ms1XEHbE2KqUbUQ8,221053,1
2,Morenita,0iCpsyn72qAsDI0wTSkln6,0.838,0.652,2,-6.652,1,0.0499,0.00919,0.484,0.039,89.021,0iCpsyn72qAsDI0wTSkln6,217427,1
3,Summer Maddness S.A.,6HDM2OxgzJ28iEhNWq0KQ8,0.677,0.649,7,-9.735,1,0.345,0.196,0.0,0.163,89.661,6HDM2OxgzJ28iEhNWq0KQ8,125027,1
4,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
5,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
6,No,1fhIOXvolJoR1cIbS6ryyp,0.583,0.409,6,-15.926,0,0.392,0.802,0.24,0.139,89.887,1fhIOXvolJoR1cIbS6ryyp,394121,2
7,Stumble,3uvALUobqjZvTGAh6737Mb,0.665,0.549,7,-11.388,0,0.0458,0.0917,0.557,0.0583,91.036,3uvALUobqjZvTGAh6737Mb,270720,0
8,Stumble,3uvALUobqjZvTGAh6737Mb,0.665,0.549,7,-11.388,0,0.0458,0.0917,0.557,0.0583,91.036,3uvALUobqjZvTGAh6737Mb,270720,0
9,Huacachina,3zRhKaZXEUGrJqMGN5KtXy,0.784,0.65,2,-5.419,0,0.0283,0.438,0.166,0.135,110.019,3zRhKaZXEUGrJqMGN5KtXy,213865,1
10,Work,01D7nX5t321cgGgehXH0MU,0.779,0.621,11,-9.839,0,0.084,0.34,0.0103,0.0747,91.959,01D7nX5t321cgGgehXH0MU,197560,1
11,Agua de La Tierra (Nicola Cruz Remix),3z55fMIOftbrZrZ0Z7WbbW,0.657,0.47,11,-11.241,0,0.355,0.254,0.139,0.1,93.032,3z55fMIOftbrZrZ0Z7WbbW,293990,0
12,Rivolta,6HPSzboswlKS4Juf6UvyPA,0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,92.887,6HPSzboswlKS4Juf6UvyPA,311576,0
13,Rivolta,6HPSzboswlKS4Juf6UvyPA,0.553,0.511,0,-10.079,1,0.0625,0.112,0.911,0.119,92.887,6HPSzboswlKS4Juf6UvyPA,311576,0
14,Zoom Zoom,1gWnuGAiTk3Q4yrIbwymUK,0.678,0.849,7,-6.983,1,0.0367,0.0459,0.613,0.0833,94.003,1gWnuGAiTk3Q4yrIbwymUK,209800,1
15,Nanã,0Psz3az3RIYfJpnsajBT8N,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,94.035,0Psz3az3RIYfJpnsajBT8N,190827,1
16,Nanã,0Psz3az3RIYfJpnsajBT8N,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,94.035,0Psz3az3RIYfJpnsajBT8N,190827,1
17,Riverman,4sONjuAg3sv8wrJEU5xX1X,0.834,0.594,2,-8.731,1,0.14,0.258,0.0324,0.096,94.001,4sONjuAg3sv8wrJEU5xX1X,411813,2
18,SHE,2u8GDlTkOd3bLSXJM8ZmXg,0.698,0.812,9,-8.964,0,0.0397,0.0334,0.314,0.306,125.023,2u8GDlTkOd3bLSXJM8ZmXg,218653,1
19,SHE,2u8GDlTkOd3bLSXJM8ZmXg,0.698,0.812,9,-8.964,0,0.0397,0.0334,0.314,0.306,125.023,2u8GDlTkOd3bLSXJM8ZmXg,218653,1
20,Who Loves The Sun,2u2aognU8U2C3bPJO5pVmz,0.985,0.686,10,-9.905,0,0.051,0.189,0.669,0.193,120.004,2u2aognU8U2C3bPJO5pVmz,562239,2
21,W.I.Y.M,5nTKPwbC0R20aRWwFXP96B,0.757,0.641,2,-8.031,0,0.079,0.121,0.0719,0.0974,93.989,5nTKPwbC0R20aRWwFXP96B,229878,1
22,Canopée,260V7huyJrXnyYe0dFv2Fa,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,96.005,260V7huyJrXnyYe0dFv2Fa,276293,0
23,Canopée,260V7huyJrXnyYe0dFv2Fa,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,96.005,260V7huyJrXnyYe0dFv2Fa,276293,0
24,Skylines,3cOtbSBKncMbTioYNuk2VL,0.741,0.537,7,-7.68,1,0.0551,0.065,0.129,0.346,95.994,3cOtbSBKncMbTioYNuk2VL,215625,1
25,Cupa Cupa,76J87q672PfsZtaKcS6qzH,0.783,0.887,4,-7.324,0,0.0404,0.159,0.878,0.416,115.001,76J87q672PfsZtaKcS6qzH,365392,2
26,Feel Good,3NMFWhIDAdDGX3xmXOxHyo,0.643,0.748,2,-6.535,0,0.0386,0.235,0.191,0.815,96.004,3NMFWhIDAdDGX3xmXOxHyo,238465,1
27,Plage isolée (Soleil couchant),1caAr2Czh1TwWdozCcsLSC,0.783,0.437,10,-8.735,0,0.0333,0.0779,0.157,0.0805,96.996,1caAr2Czh1TwWdozCcsLSC,359035,0
28,Come,1YrC8s6yZWw23QxW6rfM9f,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,99.992,1YrC8s6yZWw23QxW6rfM9f,162267,1
29,Come,1YrC8s6yZWw23QxW6rfM9f,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,99.992,1YrC8s6yZWw23QxW6rfM9f,162267,1
30,Sonate pacifique,5Cs03vgzmWuvz7wXkm4gJ9,0.557,0.534,5,-8.863,1,0.0328,0.627,0.0192,0.425,99.99,5Cs03vgzmWuvz7wXkm4gJ9,348945,0
31,Esperar Pra Ver,7baNYnxas4NlQXcoj6kSmp,0.783,0.7,6,-7.862,0,0.0367,0.0329,0.249,0.0888,99.991,7baNYnxas4NlQXcoj6kSmp,300000,0
