,Playlist,Track,Artist,Track_ID
0,🗿,Brazilian Soul (feat. Sofi Tukker) - Acoustic Bossa Version,The Knocks,5iX7aAVoO3dzUOZ1eAvg6f
1,🗿,Helpless,Rhye,7hyFz1ms1XEHbE2KqUbUQ8
2,🗿,Morenita,Sotomayor,0iCpsyn72qAsDI0wTSkln6
3,🗿,Summer Maddness S.A.,Karriem Riggins,6HDM2OxgzJ28iEhNWq0KQ8
4,🗿,Toi Et Moi,Paradis,3AVyKOmMgvRjsC576xWw78
5,🗿,No,Nicolas Jaar,1fhIOXvolJoR1cIbS6ryyp
6,🗿,Stumble,Kraak & Smaak,3uvALUobqjZvTGAh6737Mb
7,🗿,Huacachina,MonteRosso,3zRhKaZXEUGrJqMGN5KtXy
8,🗿,Work,Kazy Lambist,01D7nX5t321cgGgehXH0MU
9,🗿,Agua de La Tierra (Nicola Cruz Remix),Rodrigo Gallardo,3z55fMIOftbrZrZ0Z7WbbW
10,🗿,Rivolta,Polo & Pan,6HPSzboswlKS4Juf6UvyPA
11,🗿,Zoom Zoom,Polo & Pan,1gWnuGAiTk3Q4yrIbwymUK
12,🗿,Nanã,Polo & Pan,0Psz3az3RIYfJpnsajBT8N
13,🗿,Riverman,Monolink,4sONjuAg3sv8wrJEU5xX1X
14,🗿,SHE,The Blaze,2u8GDlTkOd3bLSXJM8ZmXg
15,🗿,Who Loves The Sun,Jo.Ke,2u2aognU8U2C3bPJO5pVmz
16,🗿,W.I.Y.M,Pyramid,5nTKPwbC0R20aRWwFXP96B
17,🗿,Canopée,Polo & Pan,260V7huyJrXnyYe0dFv2Fa
18,🗿,Skylines,MYNGA,3cOtbSBKncMbTioYNuk2VL
19,🗿,Cupa Cupa,Parra for Cuva,76J87q672PfsZtaKcS6qzH
20,🗿,Feel Good,Polo & Pan,3NMFWhIDAdDGX3xmXOxHyo
21,🗿,Plage isolée (Soleil couchant),Polo & Pan,1caAr2Czh1TwWdozCcsLSC
22,🗿,Come,Jain,1YrC8s6yZWw23QxW6rfM9f
23,🗿,Sonate pacifique,L'Impératrice,5Cs03vgzmWuvz7wXkm4gJ9
24,🗿,Esperar Pra Ver,Poolside,7baNYnxas4NlQXcoj6kSmp
25,🗿,Cariñito (Los Hijos Del Sol),Mustard,61X4VFQ8twPsxqq0U4Pbnc
26,🗿,Now U Got Me Hooked,Against All Logic,5tIhRlNkApQJoDA8zhOBUY
27,🗿,Vanille fraise,L'Impératrice,7nZ9CzhiFRPhOQCn7eDSnn
28,🗿,Long Lost Sunday Morning,Tep No,0mE22UPAPbwQaTmxMOlpaH
29,🗿,Flash,Lewis OfMan,1IHQ9Rk4AKqyi6VZso6v07
30,🗿,She's Too Good for Me,Franc Moody,7FvQMTZuUJV5rtMQkDYmZz
31,🗿,Lose My Cool - Franc Moody Remix,Amber Mark,4gdQamULpFs7WeyFGfmTCZ
32,🗿,The Sound of Violence (Cosmo Vitelli),Cassius,27tQgsWuNaFswSGGvHbohM
33,🗿,Taste,Rhye,6GbWNeR3P9MTCmSyPVHgb1
34,🗿,Don't Sing (Polo & Pan Remix),Data,3e4OoM7ltrDn63xcZccpj1
35,🗿,Calentana,CERO39,37qwlyAgQIUZIWpPM677Rc
36,🗿,Blow Up,Kid Francescoli,0IlslRjqSs79lWIbZ2OnXT
37,🗿,Out of Pocket,Mayer Hawthorne,5JKHtELnCKvUsiAJboPVE3
38,🗿,Palomita,Nu,5xWzVhDpu6hpcoiO2euL8u
39,🗿,Tous les jours,Kazy Lambist,4hFkSFTNAPvqVZxMmXUgVk
40,🗿,Weirdo - Remix,NoMBe,1TtiCjkUCw9vVHG8srFidT
41,🗿,All Night,Romare,04jqhpf3oV06HtlmthfcZZ
42,🗿,Days Without You - Crussen Remix,Satori,4OTyCkoe7FXZVb1ezehQVR
43,🗿,Crazy - DRKTMS Remix,Cabu,5dzaVAQYKPNeTYskiuLsKg
44,🗿,La Niña del Volcán (Polocorp Remix),YoSoyMatt,0aw4Dcu2XxEuLtXaepPTEA
45,🗿,Molecules,Disclosure,45pvLeeK3mcKz1O8hPmYMX
46,🗿,Keeping Me Under,Two Another,1PQNcWNJt5P9gSLRLA5gmT
47,🗿,Last Thoughts,Napkey,788Fpm2mKElTdRnRPtzSgW
48,🗿,Where Angels Fear To Tread,Disclosure,1ZqeykOaDmjkldzs7XGR4b
49,🗿,The Player,Kid Francescoli,1qkdOEgSzrTKIpEjm3MeLJ
50,🗿,10% (feat. Kali Uchis),KAYTRANADA,41SwdQIX8Hy2u6fuEDgvWr
51,🗿,Pyor,Darius,5LaLNyGl84pmHpIJSiszyr
52,🗿,Help Me Lose My Mind,Disclosure,4FjT3dqUW2Uq0R3pMz5V7C
53,🗿,Doing Yoga,Kazy Lambist,2N2QYANz84q0gQrWp4QTg8
54,🗿,Papaya,Yiuliusly,30Jf4qTyfEJWDZj5VgIti5
55,🗿,How Much (You Want Her) 2017,Isaac Delusion,1B0ymvBm70MZR2TnZJUSXZ
56,🗿,Adagio,Poom,1buK3aj7PfV1nEtmpq7nEj
57,🗿,Maria,Kerala Dust,2vOfifh09XV8vAEj0dffVW
58,🗿,Around The Sun,Poolside,0VrdF2Q4bSf5DWCnEPii0P
59,🗿,She Don't Dance,Everyone You Know,4XOc8gjhKl7FvdD4CHBYIy
60,🗿,When We Break,Total Giovanni,3T6zu9vlpyVh8j6VMcuExZ
61,🗿,doyouwannabemine?,warner case,5xw1Bl7FMkQeQHFhpj7imK
62,🗿,Feel Your Weight - Poolside Remix,Rhye,1hgX0ZmmP7IRRjUFCIBrnQ
63,🗿,You and Me,Shallou,1Z6u99PTG9w2t4mcIGoqqS
64,🗿,Love Song,Kazy Lambist,0DfobEmdknUeLyCXn2pc1P
65,🗿,Orange,Napkey,2hDh3bYshCt0VvAWA2990q
66,🗿,The Essential,Kazy Lambist,6Ck6aMwdEFapfH2cwpiWiP
67,🗿,Hard to Say Goodbye,Washed Out,5EWoUFIiguH1n2BjBoqbLf
68,🗿,Oh My God,Kazy Lambist,55Q4grgucNUDMRP13CtL5I
69,🗿,The End,Monolink,4Bi0ExSgGmv4Nn1VCxCnW7
70,🗿,Talking,Elderbrook,6uQe7SVjdDlRqDRAi0qnKg
71,🗿,Something About You,Hayden James,5n9DJWUiwuKuPE9sCVbQ0n
72,🗿,Annecy,Kazy Lambist,33l6mcqUThweUWU9bbzLhn
73,🗿,Drinkee,Sofi Tukker,5TBsLU9TSxjDLzMpsEgJsv
74,🗿,Midas,Maribou State,6VNooTY5w9A9wg1YUsEbKB
75,🗿,Zermatt,Kamaliza,4snT9aRs3dBI4NjKIazBXR
76,🗿,Disco,Boris Vian,4WAJGOk3hptP5THBvzpMxz
77,🗿,Makeba,Jain,5JdLUE9D743ob2RtgmVpVx
78,🗿,Dance Moves,Franc Moody,1DriOnyA5tFc2bUdM6nglI
79,🗿,Bambro Koyo Ganda,Bonobo,5EGJ7e7frJjYja6H4afzoT
80,🗿,Beach Jazz,Tom Jarmey,3PbtKwVUqIZPvbQZarAC0w
81,🗿,On You,Kazy Lambist,6EZWwoSA0gaOM2Y9SVm6Gu
82,🗿,Dream in Colour,Franc Moody,2EJqUMec7cXR3HPWIhAH6I
83,🗿,Light up for You,LOYAL,0zehDaqqfHz4zLWro5qUTh
84,🗿,Clap Your Hands,Whilk & Misky,7DM5k4ql2H94jNn0kN0SaU
